"Autauga County, Alabama",Autauga County, Alabama,"58,805","42,160","11,445",217,881,35,910
"Baldwin County, Alabama",Baldwin County, Alabama,"231,767","189,399","18,217","1,582","2,067",143,"5,335"
"Barbour County, Alabama",Barbour County, Alabama,"25,223","11,317","11,933",116,117,1,"1,039"
"Bibb County, Alabama",Bibb County, Alabama,"22,293","16,555","4,413",60,32,9,465
"Blount County, Alabama",Blount County, Alabama,"59,134","50,663",845,337,178,24,"3,431"
"Bullock County, Alabama",Bullock County, Alabama,"10,357","2,320","7,396",72,9,10,302
"Butler County, Alabama",Butler County, Alabama,"19,051","9,752","8,430",29,143,5,105
"Calhoun County, Alabama",Calhoun County, Alabama,"116,441","80,586","25,559",487,"1,190",119,"2,471"
"Chambers County, Alabama",Chambers County, Alabama,"34,772","18,850","13,512",106,401,13,680
"Cherokee County, Alabama",Cherokee County, Alabama,"24,971","22,707",987,109,56,1,191
"Chilton County, Alabama",Chilton County, Alabama,"45,014","35,527","4,067",338,181,6,"2,892"
"Choctaw County, Alabama",Choctaw County, Alabama,"12,665","7,074","5,232",30,22,0,47
"Clarke County, Alabama",Clarke County, Alabama,"23,087","12,029","10,255",74,94,1,82
"Clay County, Alabama",Clay County, Alabama,"14,236","11,375","1,963",56,48,4,195
"Cleburne County, Alabama",Cleburne County, Alabama,"15,056","13,819",466,53,21,2,129
"Coffee County, Alabama",Coffee County, Alabama,"53,465","37,080","8,760",640,909,61,"1,908"
"Colbert County, Alabama",Colbert County, Alabama,"57,227","43,631","9,286",270,432,9,902
"Conecuh County, Alabama",Conecuh County, Alabama,"11,597","5,912","5,104",72,40,1,99
"Coosa County, Alabama",Coosa County, Alabama,"10,387","6,824","3,008",31,8,0,162
"Covington County, Alabama",Covington County, Alabama,"37,570","30,877","4,607",147,240,0,257
"Crenshaw County, Alabama",Crenshaw County, Alabama,"13,194","9,388","3,103",62,83,2,77
"Cullman County, Alabama",Cullman County, Alabama,"87,866","79,142",937,408,522,64,"2,136"
"Dale County, Alabama",Dale County, Alabama,"49,326","33,429","10,241",270,671,52,"1,243"
"Dallas County, Alabama",Dallas County, Alabama,"38,462","10,409","26,899",65,146,17,120
"DeKalb County, Alabama",DeKalb County, Alabama,"71,608","56,420","1,046","1,992",253,22,"7,171"
"Elmore County, Alabama",Elmore County, Alabama,"87,977","63,139","18,211",337,674,32,"1,343"
"Escambia County, Alabama",Escambia County, Alabama,"36,757","22,202","10,991","1,539",114,22,278
"Etowah County, Alabama",Etowah County, Alabama,"103,436","78,584","15,146",739,927,54,"2,729"
"Fayette County, Alabama",Fayette County, Alabama,"16,321","13,666","1,736",72,51,6,144
"Franklin County, Alabama",Franklin County, Alabama,"32,113","24,333","1,166",651,68,10,"4,293"
"Geneva County, Alabama",Geneva County, Alabama,"26,659","22,078","2,241",182,89,7,543
"Greene County, Alabama",Greene County, Alabama,"7,730","1,301","6,246",5,7,0,33
"Hale County, Alabama",Hale County, Alabama,"14,785","5,999","8,337",39,25,15,66
"Henry County, Alabama",Henry County, Alabama,"17,146","11,888","4,248",50,73,4,201
"Houston County, Alabama",Houston County, Alabama,"107,202","69,265","28,408",496,"1,282",63,"2,097"
"Jackson County, Alabama",Jackson County, Alabama,"52,579","45,480","1,636",770,214,4,921
"Jefferson County, Alabama",Jefferson County, Alabama,"674,721","329,590","281,326","2,321","13,109",352,"19,074"
"Lamar County, Alabama",Lamar County, Alabama,"13,972","11,962","1,425",35,6,6,96
"Lauderdale County, Alabama",Lauderdale County, Alabama,"93,564","77,141","9,243",368,770,32,"1,552"
"Lawrence County, Alabama",Lawrence County, Alabama,"33,073","24,915","3,304","1,447",87,8,438
"Lee County, Alabama",Lee County, Alabama,"174,241","111,651","39,570",720,"8,572",120,"4,392"
"Limestone County, Alabama",Limestone County, Alabama,"103,570","77,064","13,307",708,"1,869",75,"3,862"
"Lowndes County, Alabama",Lowndes County, Alabama,"10,311","2,818","7,192",17,15,5,39
"Macon County, Alabama",Macon County, Alabama,"19,532","3,252","15,441",48,74,4,213
"Madison County, Alabama",Madison County, Alabama,"388,153","242,510","92,066","2,978","10,292",482,"10,436"
"Marengo County, Alabama",Marengo County, Alabama,"19,323","8,428","10,188",9,54,3,218
"Marion County, Alabama",Marion County, Alabama,"29,341","26,312","1,106",106,75,14,415
"Marshall County, Alabama",Marshall County, Alabama,"97,612","76,926","2,428","1,398",602,137,"9,587"
"Mobile County, Alabama",Mobile County, Alabama,"414,809","229,550","146,254","4,057","8,585",234,"5,998"
"Monroe County, Alabama",Monroe County, Alabama,"19,772","10,391","8,299",289,88,3,79
"Montgomery County, Alabama",Montgomery County, Alabama,"228,954","75,074","130,467",795,"7,995",146,"6,282"
"Morgan County, Alabama",Morgan County, Alabama,"123,421","89,869","15,453",951,850,85,"7,974"
"Perry County, Alabama",Perry County, Alabama,"8,511","2,359","5,936",16,10,3,11
"Pickens County, Alabama",Pickens County, Alabama,"19,123","10,739","7,489",27,78,0,290
"Pike County, Alabama",Pike County, Alabama,"33,009","18,275","12,138",192,588,21,439
"Randolph County, Alabama",Randolph County, Alabama,"21,967","16,772","3,815",76,87,3,370
"Russell County, Alabama",Russell County, Alabama,"59,183","27,532","26,243",228,420,140,"1,213"
"St. Clair County, Alabama",St. Clair County, Alabama,"91,103","75,728","8,652",324,663,21,"1,064"
